,visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,class,IR_norm_range,IR_range,log_entropy,entropy_x_contrast
869,4.07,110.7011,17.1192,7.6125,167.5708,0.1034,2.8773,11.7035,40.9373,36.0037,1,0.4215491092408253,4.933599999999998,-2.269150316907808,17.32682072
52,4.0,94.0,17.5625,0.0357,212.0,0.0617,3.1088,186.0,234.0,226.668,0,0.03941935483870964,7.331999999999994,-2.785471348070795,13.0804
997,3.64,138.4338,43.2094,10.1333,213.525,0.0652,3.2093,-22.5901,41.7633,21.2112,1,-0.909783489227582,20.5521,-2.73029581004953,13.92183
326,6.2198,85.7632,56.4115,6.0875,78.1542,0.0808,2.7926,-4.5511,33.1456,4.7638,1,-6.236250576783635,28.381800000000002,-2.5157783134550873,6.31485936
19,4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531,0,0.026149740932642454,5.046899999999994,-1.9317114296555002,15.62323392
264,18.0,183.0,90.6641,0.092,850.8126,0.0253,3.8893,155.0,231.0,187.6992,0,0.27936000000000005,43.30080000000001,-3.6769508832486624,21.525558779999997
6,47.0664,95.6524,73.306,3.9042,27.3958,0.1066,2.4115,-22.302,-0.1888,-17.1057,1,-0.7585373509102322,16.9169,-2.238671767250393,2.92039228
62,30.5128,67.7047,57.0345,1.4208,4.7125,0.2495,1.6001,-101.5201,-37.3747,-87.974,1,-0.49841656972363113,50.59930000000001,-1.3882963637905636,1.17576875
185,5.7899,29.4379,10.4758,1.7167,8.125,0.2334,1.7562,-2.4852,35.9152,24.3156,1,-4.667471430870755,11.599599999999999,-1.4550015591296814,1.896375
440,33.7375,78.8838,55.8841,2.3583,10.9833,0.1647,1.9847,-96.4604,-46.5013,-78.1706,1,-0.32831400243001263,31.669299999999993,-1.8036296417985422,1.8089495100000001
39,8.0,124.0,43.4063,0.0398,230.2292,0.0509,3.243,59.0,227.0,172.6563,0,0.9210796610169494,54.34370000000001,-2.9778923554256598,11.718666279999999
818,5.0,164.0,33.5781,0.0617,487.05,0.0347,3.6367,187.0,248.0,232.6328,0,0.08217754010695186,15.367199999999997,-3.3610155920293234,16.900635
360,4.9299,69.6396,17.5904,4.4,55.1417,0.2067,2.3038,-1.9724,35.4914,26.6403,1,-4.48747718515514,8.851099999999999,-1.5764868122944145,11.39778939
930,4.9299,95.0074,31.7851,10.3167,193.2,0.0495,3.2374,21.9157,41.5571,33.5373,1,0.3659385737165592,8.019799999999996,-3.0057826094074924,9.5634
34,6.0,215.0,108.1289,0.0938,950.525,0.0233,3.973,152.0,236.0,179.5859,0,0.37114539473684205,56.41409999999999,-3.759301918410482,22.1472325
813,5.1449,103.3918,39.6277,9.3083,158.9917,0.0532,3.171,-66.693,36.3381,-18.9115,1,-0.8284167753737274,55.2496,-2.933696882634538,8.45835844
420,4.715,75.6591,25.7093,4.8958,49.1958,0.1075,2.5704,0.5703,35.2792,22.0351,1,23.223040504997375,13.244100000000003,-2.2302644314144198,5.2885485
720,2.0,120.0,16.4102,0.0423,397.775,0.0975,3.0454,192.0,252.0,243.8945,0,0.042216145833333364,8.105500000000006,-2.3279029009783354,38.7830625
96,7.0,166.0,72.0156,0.1129,1359.3418,0.0212,4.0516,159.0,237.0,196.4023,0,0.2553314465408805,40.5977,-3.8537540973041704,28.818046159999998
315,7.0,95.0,17.0156,0.0228,84.4333,0.1009,2.7056,193.0,239.0,232.7109,0,0.032586010362694255,6.289099999999991,-2.2936253516225737,8.51931997
383,73.9392,83.3984,79.5027,0.4417,0.525,0.4934,0.8023,-104.671,-93.405,-99.6549,1,-0.05970994831424173,6.249899999999997,-0.7064350748868807,0.259035
242,19.5487,111.5611,61.7264,7.1917,100.45,0.0661,2.9322,-10.0901,25.7267,3.0331,1,-2.2490956482096314,22.6936,-2.7165865321244964,6.6397450000000005
610,3.2101,32.6626,5.0324,0.6208,4.4542,0.6992,0.7749,30.1224,38.4406,37.3732,1,0.0354354234722335,1.0674000000000063,-0.3578184546408113,3.11437664
418,5.1449,89.2029,42.4091,7.3167,98.9917,0.0653,2.9389,1.5776,34.215,16.5574,1,11.19269776876268,17.657600000000002,-2.7287632426997517,6.464158009999999
212,17.0,184.0,108.1953,0.0688,522.4084,0.03,3.6742,157.0,230.0,178.6992,0,0.32675668789808926,51.30080000000001,-3.506557897319982,15.672252
857,4.0,51.0,11.3711,0.0146,38.8083,0.1375,2.3755,223.0,245.0,241.5508,0,0.015467264573990988,3.4491999999999905,-1.984131361875511,5.336141250000001
397,8.0,178.0,65.5117,0.1076,1328.2583,0.0205,4.0551,171.0,239.0,211.9063,0,0.1584426900584796,27.093700000000013,-3.8873303928377747,27.22929515
151,5.5749,33.3076,8.1656,1.2583,9.3667,0.4491,1.3381,16.4106,34.6414,32.404,1,0.1363387079083028,2.237399999999994,-0.8005096988884447,4.20658497
79,49.2163,98.0172,74.7664,6.2917,62.275,0.0708,2.7743,-28.7597,-13.6085,-23.0301,1,-0.327597297607416,9.421600000000002,-2.647896278282463,4.40907
185,9.0,168.0,61.2461,0.0965,1016.0208,0.0231,3.9787,160.0,237.0,206.957,0,0.18776875000000004,30.043000000000006,-3.767922661454389,23.47008048
986,16.324,68.3497,44.8016,1.7542,6.1042,0.206,1.7434,-86.8425,18.2624,-40.5488,1,-0.6772168005296946,58.8112,-1.579879110192556,1.2574652
896,3.2101,29.6529,3.6115,0.1375,1.9542,0.9348,0.1866,31.6394,42.3808,41.672,1,0.022402447581180544,0.7088000000000036,-0.0674226763174342,1.82678616
940,5.1449,99.7371,20.7941,3.6,32.275,0.1521,2.3295,-55.8736,37.6021,12.9766,1,-0.4407358752613041,24.625500000000002,-1.88321707971689,4.9090275000000005
321,5.7899,96.0824,28.8324,7.9125,124.7708,0.066,3.0231,-0.4426,33.7879,21.6929,1,-27.327157704473564,12.094999999999999,-2.7181005369557116,8.2348728
950,85.5482,99.5221,91.4351,1.3333,3.9583,0.2614,1.5531,-107.3685,-99.978,-103.3831,1,-0.03171414334744366,3.4051000000000045,-1.3417034777920154,1.03469962
408,10.0,175.0,62.5039,0.0871,902.9667,0.0239,3.916,176.0,246.0,218.25,0,0.15767045454545456,27.75,-3.733876820044672,21.58090413
241,24.0633,93.2876,61.0487,7.1792,83.5125,0.0617,2.9317,-11.9758,10.0289,-3.4186,1,-1.122889493812522,13.4475,-2.785471348070795,5.15272125
347,8.0,81.0,19.1328,0.027,126.6667,0.0884,2.8506,204.0,244.0,234.1641,0,0.048215196078431416,9.83590000000001,-2.425883309338539,11.197336280000002
501,9.6595,102.9618,50.7488,6.4875,79.3708,0.0703,2.8684,-100.4897,27.7162,-60.7694,1,-0.8805439761487994,88.4856,-2.6549834801655177,5.579767240000001
844,1.0,130.0,7.8867,0.0174,174.6208,0.372,1.6972,201.0,251.0,246.7969,0,0.02091094527363187,4.203100000000006,-0.9888614247089905,64.9589376
205,5.0,151.0,23.0742,0.0395,366.2625,0.098,2.949,156.0,236.0,222.9531,0,0.08363397435897432,13.046899999999994,-2.322787800311565,35.893725
929,4.285,70.9295,18.5897,6.7583,107.15,0.105,2.7906,23.4935,41.5571,37.0873,1,0.19025687956243212,4.469799999999999,-2.2537949288246137,11.25075
696,5.0,196.0,48.3164,0.0881,938.0168,0.0248,3.9145,171.0,250.0,223.7461,0,0.15353157894736835,26.253899999999987,-3.6969116258112007,23.26281664
913,58.6755,134.7791,94.517,5.2125,49.2292,0.0833,2.6653,-108.4668,-59.8774,-89.5428,1,-0.2734975126029347,29.665399999999998,-2.48530672980934,4.10079236
4,10.9494,95.0074,61.2108,5.8458,60.0875,0.0757,2.7595,-17.1999,29.687,-5.2064,1,-2.028697841266519,34.8934,-2.580977118538734,4.54862375
1021,5.0,45.0,8.1367,0.0058,10.7958,0.3127,1.5505,229.0,247.0,245.1133,0,0.00823886462882092,1.8866999999999905,-1.1625110145183415,3.3758466599999997
181,8.0,166.0,82.6172,0.07,584.5459,0.0308,3.6982,157.0,238.0,192.1016,0,0.2923464968152867,45.89840000000001,-3.4802405890026082,18.00401372
365,8.5846,132.6293,64.2113,8.2,128.5,0.0568,3.0648,-22.302,33.1456,6.9975,1,-1.1724553851672497,26.148100000000003,-2.8682189532550315,7.298800000000001
496,5.0,184.0,56.9219,0.0863,1055.2042,0.0354,3.8136,170.0,248.0,218.5664,0,0.17313882352941184,29.433600000000013,-3.341043458842408,37.35422868
264,5.7899,79.9587,27.2847,4.5375,37.7792,0.095,2.5438,-10.8958,33.1456,14.669,1,-1.695754327355495,18.4766,-2.353878387381596,3.589024
217,6.0,149.0,32.5234,0.0634,508.3959,0.0325,3.6579,164.0,240.0,223.9961,0,0.0975847560975609,16.003899999999987,-3.4265151896464454,16.52286675
611,3.4251,14.1742,4.028,0.1417,0.5583,0.9031,0.2766,34.0016,39.6925,38.2845,1,0.04140981600865845,1.4080000000000013,-0.10192198972538395,0.50420073
187,12.2393,81.6786,43.5889,5.35,51.525,0.0824,2.6901,-100.4897,14.0712,-52.0446,1,-0.657936086982049,66.11580000000001,-2.496169842066711,4.24566
184,5.3599,44.2717,8.9163,1.9167,15.425,0.3111,1.7168,21.6893,36.3381,32.95,1,0.15621066608880851,3.3880999999999943,-1.1676408750785459,4.7987175
742,3.0,97.0,25.3086,0.0577,394.6417,0.0348,3.571,209.0,252.0,241.375,0,0.05083732057416268,10.625,-3.3581378922017087,13.73353116
655,14.0,172.0,77.3281,0.1099,1255.7084,0.0194,4.0926,178.0,243.0,208.0625,0,0.19627808988764045,34.9375,-3.9424822129128545,24.36074296
161,41.4769,135.854,86.7953,5.2917,55.1417,0.0876,2.6716,-13.6085,-0.1888,-10.4331,1,-0.7527868611529558,10.244299999999999,-2.4349742810397914,4.83041292
836,4.5,79.0988,19.1162,6.8542,110.4625,0.0805,2.8774,19.4112,41.3507,35.1897,1,0.3173940817672272,6.161000000000001,-2.5194980945576195,8.89223125
881,1.0,3.0,1.9922,0.0001,0.0292,0.9434,0.1318,250.0,252.0,251.5664,0,0.0017344000000000506,0.43360000000001264,-0.05826490813197574,0.02754728
549,7.0,197.0,61.2773,0.1014,1230.9792,0.0223,3.9977,170.0,241.0,211.6953,0,0.1723805882352941,29.304699999999997,-3.803168600516064,27.45083616
243,6.2198,125.7499,57.7517,9.6333,178.6583,0.0512,3.1918,-15.2567,34.4283,13.1092,1,-1.3973598484600207,21.3191,-2.972015746936675,9.14730496
326,7.0,186.0,79.3828,0.089,820.0502,0.0238,3.9122,150.0,238.0,197.5703,0,0.2695313333333333,40.4297,-3.738069698304708,19.517194760000002
867,4.07,88.773,15.9889,5.0417,91.4917,0.1886,2.3991,16.4106,41.7633,36.7299,1,0.3067163906255713,5.0334,-1.66812690878278,17.25533462
522,3.0,181.0,47.5,0.1034,1374.9335,0.0249,3.9786,174.0,250.0,225.5898,0,0.14028850574712645,24.410200000000003,-3.6928874755114753,34.23584415
685,4.07,130.6945,29.6655,4.775,82.4083,0.2882,2.1491,-5.8544,40.9373,29.1181,1,-2.018857611369227,11.819200000000002,-1.2441005954167152,23.75007206
967,10.0,206.0,141.6641,0.0612,458.5917,0.0329,3.6031,191.0,243.0,201.1875,0,0.21891361256544503,41.8125,-3.414282621210811,15.08766693
841,3.64,10.5195,3.976,0.0333,0.0667,0.959,0.1211,37.6021,40.5231,39.7408,1,0.020804689099810897,0.7822999999999993,-0.04186420409869887,0.06396529999999999
689,3.0,95.0,16.8359,0.0444,318.5291,0.0528,3.3181,204.0,251.0,242.5898,0,0.04122647058823531,8.410200000000003,-2.9412440882699213,16.818336480000003
914,59.7504,116.9356,92.0262,2.6167,13.7,0.1525,2.0887,-107.9162,-55.1578,-84.8907,1,-0.2755184115081887,29.732899999999994,-1.8805906829346708,2.08925
260,6.0,199.0,74.3047,0.0856,861.6916,0.0239,3.8904,159.0,239.0,197.3828,0,0.26174339622641507,41.6172,-3.733876820044672,20.59442924
845,1.0,166.0,32.3789,0.0514,575.8542,0.2158,2.6831,193.0,251.0,236.4258,0,0.07551398963730566,14.57419999999999,-1.5334032261581028,124.26933636
921,76.519,103.8217,86.8457,1.1333,3.8333,0.3139,1.4301,-100.4897,-75.5307,-95.5672,1,-0.19938859405491313,20.036500000000004,-1.1586808151342292,1.20327287
726,5.0,195.0,38.8633,0.0776,757.7209,0.0263,3.8423,182.0,252.0,232.5898,0,0.10664945054945056,19.410200000000003,-3.638186339798418,19.92805967
617,3.855,45.9915,9.9266,2.7333,29.4667,0.2386,2.0023,27.2758,41.7633,38.6963,1,0.11244399797622802,3.067,-1.4329667693183212,7.03075462
667,74.1542,87.6981,81.7415,0.4792,0.6708,0.4742,0.8903,-99.978,-84.1377,-94.1074,1,-0.09971893816639664,9.969700000000003,-0.7461261053508319,0.31809336
93,22.9884,68.3497,49.7453,3.2,16.7083,0.1346,2.146,-96.4604,-21.7274,-76.0222,1,-0.5628713959303506,54.294799999999995,-2.0054478617715095,2.24893718
55,7.0,153.0,48.3359,0.0769,732.0042,0.0291,3.7615,161.0,237.0,211.332,0,0.15942857142857148,25.668000000000006,-3.5370171048046903,21.30132222
363,8.0,187.0,88.5469,0.1025,1119.3625,0.021,4.0111,163.0,241.0,198.1133,0,0.26310858895705513,42.88669999999999,-3.863232841258714,23.5066125
355,4.0,204.0,74.3203,0.1226,1922.7754,0.0205,4.1544,161.0,240.0,203.7539,0,0.22513105590062119,36.24610000000001,-3.8873303928377747,39.416895700000005
616,3.0,195.0,53.4414,0.1314,2067.6294,0.0191,4.1857,168.0,250.0,223.6133,0,0.15706369047619043,26.38669999999999,-3.958066943929553,39.49172153999999
194,6.8648,115.2158,30.4297,5.5667,63.2667,0.0823,2.7712,-9.8224,32.9311,19.7146,1,-1.345546913178042,13.2165,-2.497384171299113,5.20684941
82,43.1968,104.4667,72.8374,4.8792,42.8792,0.0882,2.617,-24.038,-7.1672,-15.8771,1,-0.3623387969049006,8.709900000000001,-2.4281483159693913,3.78194544
259,22.9884,101.0269,57.8861,7.4417,98.275,0.0622,2.951,-21.1547,22.1418,-0.6078,1,-1.0753922296227316,22.7496,-2.7774002792370034,6.112705
794,4.0,97.0,24.6758,0.0428,270.8708,0.0532,3.2816,205.0,247.0,236.5742,0,0.050857560975609804,10.42580000000001,-2.933696882634538,14.410326559999998
637,81.0336,93.7176,86.1126,1.0917,3.275,0.3123,1.4135,-101.0037,-86.8425,-96.5803,1,-0.09641032952258179,9.737799999999993,-1.163791014693104,1.0227825000000001
502,5.0,117.0,26.3164,0.0506,350.9125,0.0422,3.4661,197.0,249.0,235.8047,0,0.06698121827411169,13.195300000000003,-3.165335057940171,14.808507500000001
743,3.0,109.0,30.3906,0.0754,675.1917,0.0274,3.7922,201.0,253.0,238.418,0,0.072547263681592,14.581999999999994,-3.5972122655881127,18.500252579999998
362,31.5877,123.1701,72.7031,9.0333,146.75,0.0526,3.1429,-12.5183,15.7117,-4.4893,1,-1.6137175175543006,20.201,-2.945039159238473,7.71905
893,15.0341,73.0793,46.7272,2.7375,13.9792,0.1522,2.0807,-81.4919,14.5413,-41.9865,1,-0.6936615786354227,56.5278,-1.8825598335545515,2.12763424
945,2.0,15.0,3.8164,0.0038,4.5333,0.4406,1.2634,243.0,250.0,248.5547,0,0.005947736625514416,1.4453000000000031,-0.8196178446138943,1.9973719799999998
296,16.0,195.0,95.4258,0.1085,1181.0459,0.0196,4.0853,157.0,231.0,190.1133,0,0.26042484076433114,40.88669999999999,-3.9322257127456655,23.14849964
485,3.0,79.0,20.7734,0.0305,138.15,0.0767,2.9741,196.0,241.0,229.9492,0,0.05638163265306127,11.05080000000001,-2.5678535706089263,10.596105000000001
254,65.9849,80.3887,71.2477,0.8958,2.4042,0.3524,1.2896,-107.3685,-91.9673,-99.3144,1,-0.06842882223370925,7.347100000000012,-1.0429883849201127,0.84724008
717,4.285,77.3789,11.4281,1.85,12.1833,0.2454,1.7588,-2.2287,40.5231,31.1155,1,-4.2211154484677165,9.407599999999999,-1.404865746705326,2.9897818199999997
193,7.9397,129.6196,73.8107,9.0542,145.5458,0.0532,3.1461,-16.3644,32.5014,-2.0964,1,-2.1142113368042823,34.5978,-2.933696882634538,7.74303656
988,9.2296,66.6298,31.2661,2.6542,12.3292,0.1497,2.0321,-89.6102,25.7267,-34.2034,1,-0.6687865890266956,59.9301,-1.8991219875565544,1.84568124
178,14.3891,64.265,43.6695,4.2875,30.9708,0.1009,2.4528,-7.1672,25.9487,3.2421,1,-3.168127023105257,22.706599999999998,-2.2936253516225737,3.12495372
968,9.0,166.0,91.1914,0.0754,594.5583,0.0273,3.7616,197.0,244.0,212.4531,0,0.16013654822335022,31.546899999999994,-3.600868576791223,16.231441590000003
603,9.0,140.0,42.0078,0.0749,671.3083,0.0273,3.8057,173.0,245.0,226.2969,0,0.1081104046242775,18.703100000000006,-3.600868576791223,18.32671659
344,12.4543,68.1347,40.9294,5.225,57.05,0.0978,2.6018,-79.33,14.5413,-51.8437,1,-0.8368208748266733,66.38499999999999,-2.3248307019413654,5.57949
711,4.07,131.7694,25.6346,8.0542,158.7208,0.0754,2.9955,4.421,41.9693,33.931,1,1.8182085501017866,8.0383,-2.584948003968227,11.967548319999999
569,65.9849,85.5482,76.603,0.9875,2.3792,0.3133,1.3593,-105.7418,-82.3676,-96.5193,1,-0.13383259978551534,14.151700000000005,-1.160594081023991,0.7454033600000001
26,6.0,115.0,23.8047,0.042,342.0583,0.0733,3.1733,176.0,237.0,226.625,0,0.05894886363636364,10.375,-2.613194670089531,25.072873389999998
16,16.539,96.2973,56.272,5.4375,49.1958,0.0803,2.6746,-30.264,17.1071,-17.0709,1,-1.1293285752048638,34.178,-2.521985658029421,3.9504227399999996
244,24.0,191.0,106.293,0.0944,926.1833,0.0221,3.9808,159.0,232.0,189.082,0,0.26992452830188685,42.918000000000006,-3.81217767045843,20.468650930000003
864,3.2101,58.4605,6.9009,2.075,20.1,0.3727,1.6433,23.9421,42.1752,40.4549,1,0.07185251084908988,1.7202999999999946,-0.9869814724969244,7.49127
737,1.0,58.0,9.5625,0.0328,158.4333,0.0648,3.0717,224.0,250.0,245.9805,0,0.0179441964285714,4.019499999999994,-2.7364496756239083,10.26647784
158,7.0,91.0,25.6641,0.0403,266.9459,0.065,3.1878,192.0,237.0,225.2227,0,0.06134010416666665,11.777299999999997,-2.7333680090865,17.3514835
279,5.1449,28.148,9.6209,1.425,5.475,0.2675,1.6279,-30.264,36.7603,21.1204,1,-0.5167823156225219,15.6399,-1.3186357126460757,1.4645625
82,13.0,189.0,104.625,0.0963,929.8791,0.0231,3.9346,151.0,227.0,177.1563,0,0.33009072847682125,49.84370000000001,-3.767922661454389,21.48020721
1018,16.9689,58.6755,40.9075,3.0208,18.2875,0.1375,2.1754,-60.618,20.7812,-16.1559,1,-0.6093421096044079,36.9371,-1.984131361875511,2.5145312500000006
642,3.0,107.0,20.918,0.0553,427.6792,0.0407,3.4887,203.0,249.0,238.6797,0,0.05083891625615765,10.320300000000003,-3.2015271865335877,17.40654344
729,81.4636,112.851,95.7733,1.9292,7.5208,0.1935,1.836,-106.8235,-64.7649,-94.4987,1,-0.2783451206897359,29.733800000000002,-1.6424777665123005,1.4552748000000002
87,19.3337,133.7042,81.2326,8.3458,131.1792,0.0574,3.0588,-26.0869,19.6402,-8.7855,1,-1.0896541942507543,28.4257,-2.8577109756566164,7.52968608
552,3.0,185.0,45.8633,0.0916,1339.0625,0.0382,3.8033,169.0,249.0,226.4961,0,0.13315917159763307,22.503899999999987,-3.2649197633696074,51.1521875
775,4.0,125.0,36.6484,0.0769,699.0417,0.0264,3.8344,206.0,252.0,236.0078,0,0.07763203883495144,15.992199999999997,-3.6343912688298667,18.45470088
343,7.2947,64.265,28.2689,5.9042,55.1875,0.0731,2.7424,-81.4919,29.4689,-23.8625,1,-0.6544380484440785,53.3314,-2.615926912226404,4.0342062499999995
309,5.5749,47.0664,13.4914,2.575,13.8667,0.1576,2.0762,-12.7902,35.2792,24.4446,1,-0.847101687229285,10.834600000000002,-1.8476951015583583,2.18539192
201,17.0,166.0,79.8828,0.0999,998.5709,0.0215,3.9892,119.0,228.0,174.6563,0,0.448266386554622,53.34370000000001,-3.83970234384852,21.46927435
469,5.0,99.0,22.5938,0.0506,335.6084,0.0414,3.4602,204.0,250.0,238.1719,0,0.05798088235294121,11.828100000000006,-3.1844743981508685,13.894187760000001
632,79.0988,91.7827,84.6338,0.9083,1.8167,0.3444,1.2256,-116.4959,-107.9162,-112.5977,1,-0.0401859636261877,4.6815,-1.0659515064285614,0.62567148
671,73.7242,85.3333,81.7449,0.1833,0.2333,0.7228,0.5069,-97.9544,-86.3875,-93.4583,1,-0.07218460834837426,7.070799999999991,-0.32462272026406364,0.16862924
537,57.3856,84.0434,69.3474,1.0625,2.2208,0.2974,1.3446,-97.9544,-67.082,-79.2006,1,-0.12371674983461692,12.1186,-1.2126772449560823,0.66046592
327,27.0,190.0,105.0703,0.1127,1334.292,0.0197,4.099,155.0,223.0,183.8086,0,0.2528477419354838,39.19139999999999,-3.9271366432381942,26.285552399999997
734,4.0,24.0,5.7656,0.0034,4.725,0.474,1.1576,236.0,246.0,244.8125,0,0.005031779661016949,1.1875,-0.7465479572870606,2.2396499999999997
412,10.0,175.0,64.9063,0.0679,514.4625,0.0288,3.724,164.0,243.0,210.9141,0,0.19564573170731714,32.08590000000001,-3.547379891840237,14.816519999999999
235,10.9494,73.0793,43.9525,9.0042,131.3375,0.0534,3.0861,-0.6967,29.032,10.542,1,-26.539400028706766,18.490000000000002,-2.9299445330159877,7.013422500000001
482,3.0,98.0,30.3008,0.063,470.8459,0.0327,3.6387,192.0,244.0,227.4961,0,0.08595781249999994,16.503899999999987,-3.4203802010789293,15.39666093
637,6.0,123.0,19.9219,0.0364,200.7167,0.061,3.1068,196.0,247.0,238.332,0,0.0442244897959184,8.668000000000006,-2.796881414808826,12.2437187
770,1.0,126.0,23.3477,0.0705,835.8083,0.0407,3.5711,204.0,253.0,242.3594,0,0.05215980392156866,10.640600000000006,-3.2015271865335877,34.01739781
512,9.0,227.0,92.4805,0.1325,1890.4169,0.0166,4.2457,165.0,237.0,199.5391,0,0.22703575757575764,37.46090000000001,-4.098352583619639,31.380920539999998
468,5.0,158.0,31.5781,0.0773,867.2499,0.0316,3.77,172.0,248.0,229.6406,0,0.10674069767441857,18.359399999999994,-3.4545981583892704,27.405096840000002
334,8.0,169.0,51.7969,0.0923,926.5541,0.0231,3.9487,178.0,239.0,217.2109,0,0.12241067415730332,21.78909999999999,-3.767922661454389,21.40339971
155,6.4348,65.3399,30.3801,4.4792,35.6375,0.0936,2.5297,-96.9562,33.1456,-33.6741,1,-0.6891740806673531,66.81970000000001,-2.3687248954985907,3.3356700000000004
802,1.0,17.0,1.8164,0.0042,5.1292,0.3547,1.3558,245.0,253.0,251.9141,0,0.004432244897959222,1.0859000000000094,-1.036482917202561,1.81932724
821,3.0,81.0,12.9961,0.025,105.0875,0.0889,2.8225,206.0,251.0,243.0625,0,0.03853155339805825,7.9375,-2.420243136462278,9.342278750000002
118,9.0,171.0,87.6211,0.0924,840.9417,0.0238,3.8794,153.0,231.0,187.6367,0,0.28342026143790855,43.36330000000001,-3.738069698304708,20.01441246
817,3.0,122.0,24.7734,0.0459,316.5458,0.0589,3.3143,194.0,251.0,238.1523,0,0.06622525773195878,12.847700000000003,-2.831914188324596,18.64454762
925,11.1644,71.1444,28.7485,3.775,31.4167,0.1191,2.357,-67.082,23.2689,-11.8069,1,-0.5228794609582302,35.0758,-2.127791802620883,3.7417289699999996
388,5.1449,91.7827,56.8548,6.7792,74.7875,0.0658,2.8596,-5.332,33.5741,5.646,1,-5.237828207051763,27.9281,-2.7211354406508654,4.9210175
918,83.3984,101.4569,91.9548,1.1542,2.9125,0.2777,1.4403,-109.0203,-91.9673,-102.4637,1,-0.09627931678779098,10.496400000000008,-1.2812138846693832,0.80880125
618,6.0,208.0,73.2266,0.1422,2191.6042,0.0156,4.3501,171.0,247.0,215.0234,0,0.18699766081871338,31.97659999999999,-4.160484364726646,34.18902552
436,5.1449,58.0305,18.7912,5.6167,64.025,0.0873,2.7221,-69.8375,33.7879,4.0693,1,-0.4255392876320029,29.718600000000002,-2.4384048161365803,5.589382500000001
623,5.1449,50.9361,16.4038,3.7625,30.6208,0.1174,2.4063,-40.2485,39.6925,15.7453,1,-0.5949836639874778,23.947200000000002,-2.142168371588141,3.59488192
